2026-08-03 01:39:31 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 01:40:43 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 01:40:43 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 01:46:53 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 01:46:54 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 01:46:55 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 01:47:17 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 01:47:17 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x  / x+1' on [0.0, 1.0] with n=100
2026-08-03 01:47:17 | INFO     | nis.database.db_manager | Inserted history entry id=8
2026-08-03 01:48:08 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 01:48:08 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x  /  1 +1' on [0.0, 1.0] with n=100
2026-08-03 01:48:08 | INFO     | nis.database.db_manager | Inserted history entry id=9
2026-08-03 01:48:13 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 01:48:13 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x  /  1 +x' on [0.0, 1.0] with n=100
2026-08-03 01:48:13 | INFO     | nis.database.db_manager | Inserted history entry id=10
2026-08-03 01:48:15 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 01:48:15 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x  /  1 +x' on [0.0, 1.0] with n=100
2026-08-03 01:48:15 | INFO     | nis.database.db_manager | Inserted history entry id=11
2026-08-03 01:48:20 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 01:48:20 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x  /  1 + x' on [0.0, 1.0] with n=100
2026-08-03 01:48:20 | INFO     | nis.database.db_manager | Inserted history entry id=12
2026-08-03 01:48:20 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 01:48:20 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x  /  1 + x' on [0.0, 1.0] with n=100
2026-08-03 01:48:20 | INFO     | nis.database.db_manager | Inserted history entry id=13
2026-08-03 01:48:20 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 01:48:20 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x  /  1 + x' on [0.0, 1.0] with n=100
2026-08-03 01:48:20 | INFO     | nis.database.db_manager | Inserted history entry id=14
2026-08-03 01:48:34 | INFO     | nis.database.db_manager | Deleted history entry id=14
2026-08-03 01:48:36 | INFO     | nis.database.db_manager | Deleted history entry id=13
2026-08-03 01:48:36 | INFO     | nis.database.db_manager | Deleted history entry id=12
2026-08-03 01:48:38 | INFO     | nis.database.db_manager | Deleted history entry id=7
2026-08-03 01:48:39 | INFO     | nis.database.db_manager | Deleted history entry id=6
2026-08-03 01:48:39 | INFO     | nis.database.db_manager | Deleted history entry id=5
2026-08-03 01:48:39 | INFO     | nis.database.db_manager | Deleted history entry id=4
2026-08-03 01:48:40 | INFO     | nis.database.db_manager | Deleted history entry id=3
2026-08-03 01:48:40 | INFO     | nis.database.db_manager | Deleted history entry id=2
2026-08-03 01:48:40 | INFO     | nis.database.db_manager | Deleted history entry id=1
2026-08-03 01:48:40 | INFO     | nis.database.db_manager | Deleted history entry id=8
2026-08-03 01:48:40 | INFO     | nis.database.db_manager | Deleted history entry id=9
2026-08-03 01:48:40 | INFO     | nis.database.db_manager | Deleted history entry id=10
2026-08-03 01:48:41 | INFO     | nis.database.db_manager | Deleted history entry id=11
2026-08-03 01:48:53 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 01:48:53 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x / (x+1)' on [0.0, 1.0] with n=100
2026-08-03 01:48:54 | INFO     | nis.database.db_manager | Inserted history entry id=15
2026-08-03 01:51:06 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['trapezoidal', 'simpson_1_3', 'simpson_3_8', 'taylor'] over n in [12, 25, 50, 100, 200, 400, 800]
2026-08-03 01:51:10 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['trapezoidal', 'simpson_1_3', 'simpson_3_8', 'taylor'] over n in [12, 25, 50, 100, 200, 400, 800]
2026-08-03 01:51:23 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['trapezoidal', 'simpson_1_3', 'simpson_3_8', 'taylor'] over n in [12, 25, 50, 100, 200, 400, 800]
2026-08-03 01:51:30 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['trapezoidal', 'simpson_1_3', 'simpson_3_8', 'taylor'] over n in [12, 25, 50, 100, 200, 400, 800]
2026-08-03 01:52:07 | INFO     | nis.services.csv_export_service | Exported CSV report to D:\NM Project\NumericalIntegrationStudio\calculation_report.csv
2026-08-03 01:52:07 | INFO     | nis.controllers.report_controller | Exported CSV report to D:/NM Project/NumericalIntegrationStudio/calculation_report.csv
2026-08-03 01:53:52 | INFO     | nis.services.pdf_report_service | Generated PDF report at D:\NM Project\NumericalIntegrationStudio\calculation_report.pdf
2026-08-03 01:53:52 | INFO     | nis.controllers.report_controller | Exported PDF report to D:/NM Project/NumericalIntegrationStudio/calculation_report.pdf
2026-08-03 01:54:46 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 01:54:46 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:23:10 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:23:12 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:23:19 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:23:39 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 02:23:39 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x/x+1' on [0.0, 1.0] with n=100
2026-08-03 02:23:39 | INFO     | nis.database.db_manager | Inserted history entry id=16
2026-08-03 02:24:02 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 02:24:02 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x/1+x' on [0.0, 1.0] with n=100
2026-08-03 02:24:02 | INFO     | nis.database.db_manager | Inserted history entry id=17
2026-08-03 02:24:17 | INFO     | nis.controllers.integration_controller | Computed 1 method(s) for 'x/1+x' on [0.0, 1.0] with n=3
2026-08-03 02:24:17 | INFO     | nis.database.db_manager | Inserted history entry id=18
2026-08-03 02:24:27 | INFO     | nis.database.db_manager | Deleted history entry id=18
2026-08-03 02:24:27 | INFO     | nis.database.db_manager | Deleted history entry id=17
2026-08-03 02:24:27 | INFO     | nis.database.db_manager | Deleted history entry id=16
2026-08-03 02:24:27 | INFO     | nis.database.db_manager | Deleted history entry id=15
2026-08-03 02:24:46 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 02:24:46 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x / (x+1)' on [0.0, 1.0] with n=100
2026-08-03 02:24:46 | INFO     | nis.database.db_manager | Inserted history entry id=19
2026-08-03 02:25:01 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 02:25:01 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x / x+1' on [0.0, 1.0] with n=100
2026-08-03 02:25:01 | INFO     | nis.database.db_manager | Inserted history entry id=20
2026-08-03 02:25:07 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 02:25:07 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x / 1+x' on [0.0, 1.0] with n=100
2026-08-03 02:25:07 | INFO     | nis.database.db_manager | Inserted history entry id=21
2026-08-03 02:25:16 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 02:25:16 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x / (1+x)' on [0.0, 1.0] with n=100
2026-08-03 02:25:16 | INFO     | nis.database.db_manager | Inserted history entry id=22
2026-08-03 02:25:26 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 02:25:26 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x / (x+1)' on [0.0, 1.0] with n=100
